nivel,metodo,heuristica,deadlocks,corrida,orden_sucesores,exito,motivo_fin,costo,empujes,nodos_expandidos,nodos_generados,frontera_maxima,frontera_final,estados_visitados,memoria_maxima,tiempo_s
n2_akk04,DFS,—,completo,1,ULRD,True,meta,157,44,5418,13488,133,90,5509,5602,0.020
n2_akk04,DFS,—,completo,1,URDL,True,meta,147,36,1329,3403,139,94,1424,1521,0.005
n2_akk04,DFS,—,completo,1,URLD,True,meta,159,44,2970,7530,138,96,3067,3164,0.011
n2_akk04,DFS,—,completo,1,DULR,True,meta,125,40,5103,13000,144,60,5164,5227,0.019
n2_akk04,DFS,—,completo,1,DURL,True,meta,147,42,5307,13581,128,87,5395,5483,0.020
n2_akk04,DFS,—,completo,1,DLUR,True,meta,121,38,6398,16285,105,54,6453,6510,0.023
n2_akk04,DFS,—,completo,1,DLRU,True,meta,125,36,6346,16168,117,50,6397,6449,0.038
n2_akk04,DFS,—,completo,1,DRUL,True,meta,161,46,5553,14194,121,83,5637,5721,0.020
n2_akk04,DFS,—,completo,1,DRLU,True,meta,167,40,5772,14730,117,68,5841,5911,0.021
n2_akk04,DFS,—,completo,1,LUDR,True,meta,179,48,8358,21197,134,90,8449,8542,0.030
n2_akk04,DFS,—,completo,1,LURD,True,meta,117,36,3395,8575,82,61,3457,3521,0.012
n2_akk04,DFS,—,completo,1,LDUR,True,meta,155,44,6767,17234,118,68,6836,6907,0.025
n2_akk04,DFS,—,completo,1,LDRU,True,meta,113,32,5987,15260,143,46,6034,6082,0.022
n2_akk04,DFS,—,completo,1,LRUD,True,meta,137,36,3302,8387,76,61,3364,3427,0.012
n2_akk04,DFS,—,completo,1,LRDU,True,meta,139,40,4251,10745,83,63,4315,4380,0.015
n2_akk04,DFS,—,completo,1,RUDL,True,meta,129,34,2778,7101,118,69,2848,2918,0.010
n2_akk04,DFS,—,completo,1,RULD,True,meta,175,52,3369,8561,118,92,3462,3555,0.013
n2_akk04,DFS,—,completo,1,RDUL,True,meta,151,40,3464,8816,114,73,3538,3612,0.013
n2_akk04,DFS,—,completo,1,RDLU,True,meta,159,40,3519,8948,93,70,3590,3661,0.013
n2_akk04,DFS,—,completo,1,RLUD,True,meta,167,40,2721,6946,88,74,2796,2871,0.010
n2_akk04,DFS,—,completo,1,RLDU,True,meta,181,46,3699,9399,87,76,3776,3853,0.015
n3_caminata,DFS,—,completo,1,UDLR,True,meta,200,42,854,2048,92,80,935,1019,0.003
n3_caminata,DFS,—,completo,1,UDRL,True,meta,430,60,1231,2919,151,138,1370,1521,0.004
n3_caminata,DFS,—,completo,1,ULDR,True,meta,224,44,798,1915,98,88,887,982,0.003
n3_caminata,DFS,—,completo,1,ULRD,True,meta,216,40,892,2114,101,90,983,1074,0.003
n3_caminata,DFS,—,completo,1,URDL,True,meta,366,56,1262,3008,146,132,1395,1531,0.004
n3_caminata,DFS,—,completo,1,URLD,True,meta,304,42,958,2278,116,105,1064,1170,0.003
n3_caminata,DFS,—,completo,1,DULR,True,meta,228,46,618,1506,108,95,714,814,0.002
n3_caminata,DFS,—,completo,1,DURL,True,meta,448,62,1183,2841,137,124,1308,1437,0.004
n3_caminata,DFS,—,completo,1,DLUR,True,meta,164,34,408,994,65,62,471,535,0.001
n3_caminata,DFS,—,completo,1,DLRU,True,meta,250,46,611,1468,97,93,705,800,0.002
n3_caminata,DFS,—,completo,1,DRUL,True,meta,416,60,1302,3127,118,112,1415,1532,0.004
n3_caminata,DFS,—,completo,1,DRLU,True,meta,220,42,687,1651,78,74,762,838,0.002
n3_caminata,DFS,—,completo,1,LUDR,True,meta,178,36,642,1552,71,66,709,779,0.002
